No,入院経験,注射
1,なし,平気
2,なし,怖い
3,あり,怖い
4,あり,平気
5,あり,怖い
6,なし,平気
7,なし,怖い
8,あり,怖い
9,なし,平気
10,なし,平気
11,なし,怖い
12,あり,怖い
13,なし,怖い
14,あり,平気
15,あり,怖い
16,なし,怖い
17,あり,平気
18,あり,平気
19,あり,怖い
20,なし,怖い
21,なし,平気
22,なし,平気
23,なし,平気
24,なし,怖い
25,あり,平気
26,なし,怖い
27,なし,平気
28,あり,平気
29,なし,平気
30,あり,怖い
31,あり,怖い
32,なし,平気
33,なし,怖い
34,なし,怖い
35,なし,平気
36,あり,怖い
37,なし,平気
38,なし,怖い
39,あり,怖い
40,あり,平気
41,あり,怖い
42,なし,平気
43,あり,怖い
44,あり,平気
45,なし,怖い
46,なし,平気
47,あり,怖い
48,あり,怖い
49,なし,怖い
50,あり,怖い
51,なし,怖い
52,なし,平気
53,なし,平気
54,あり,怖い
55,なし,平気
56,あり,怖い
57,あり,平気
58,なし,平気
59,あり,平気
60,あり,平気
61,あり,怖い
62,あり,平気
63,あり,平気
64,なし,怖い
65,あり,平気
66,なし,平気
67,なし,怖い
68,なし,怖い
69,あり,怖い
70,あり,怖い
71,あり,怖い
72,あり,怖い
73,あり,怖い
74,なし,平気
75,あり,怖い
76,なし,平気
77,あり,平気
78,あり,怖い
79,なし,怖い
80,なし,平気
81,なし,怖い
82,あり,怖い
83,なし,平気
84,あり,怖い
85,なし,怖い
86,なし,平気
87,あり,怖い
88,あり,怖い
89,なし,平気
90,なし,平気
91,なし,怖い
92,なし,平気
93,なし,怖い
94,なし,平気
95,あり,怖い
96,なし,怖い
97,あり,怖い
98,あり,怖い
99,なし,怖い
100,なし,平気
101,あり,怖い
102,なし,平気
103,なし,平気
104,なし,怖い
105,あり,怖い
106,なし,怖い
107,あり,怖い
108,あり,怖い
109,なし,平気
110,あり,怖い
111,なし,怖い
112,あり,怖い
113,あり,怖い
114,なし,怖い
115,なし,平気
116,なし,怖い
117,なし,平気
118,あり,怖い
119,あり,怖い
120,なし,平気
121,あり,怖い
122,なし,怖い
123,あり,怖い
124,あり,怖い
125,なし,怖い
126,なし,怖い
127,あり,怖い
128,あり,怖い
129,あり,怖い
130,なし,怖い
131,あり,怖い
132,なし,平気
133,なし,平気
134,なし,平気
135,なし,怖い
136,あり,怖い
137,なし,平気
138,なし,怖い
139,なし,怖い
140,あり,平気
141,あり,怖い
142,なし,平気
143,なし,平気
144,なし,怖い
145,あり,怖い
146,あり,平気
147,あり,平気
148,あり,怖い
149,なし,平気
150,あり,怖い
151,あり,怖い
152,あり,怖い
153,あり,怖い
154,あり,怖い
155,あり,怖い
156,あり,怖い
157,なし,平気
158,なし,怖い
159,なし,平気
160,あり,平気
161,あり,怖い
162,なし,平気
163,なし,平気
164,なし,平気
165,なし,怖い
166,あり,怖い
167,あり,怖い
168,あり,怖い
169,あり,怖い
170,あり,平気
171,なし,怖い
172,なし,平気
173,あり,怖い
174,あり,怖い
175,なし,平気
176,なし,怖い
177,なし,平気
178,なし,平気
179,あり,怖い
180,なし,怖い
181,あり,平気
182,なし,平気
183,あり,平気
184,あり,平気
185,あり,怖い
186,あり,怖い
187,あり,怖い
188,あり,怖い
189,なし,怖い
190,あり,怖い
191,なし,平気
192,あり,平気
193,あり,怖い
194,なし,平気
195,あり,平気
196,なし,平気
197,あり,怖い
198,なし,怖い
199,あり,怖い
200,なし,怖い
